feature_set_name,hidden_sizes,dropout,lr,weight_decay,optimizer,scheduler,batch_size,activation,loss_name,use_batchnorm,seed,block,run_id,n_features,uses_crime,uses_safety,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,elapsed_sec,best_epoch,feature_list
geo_knn_density_macro,"(128, 128)",0.3,0.001,0.002,adamw,plateau,64,gelu,mse,False,62,block2_mixed_feature_sets,612,37,1,1,5.812810752516526,7.747555570582679,0.7493411852680085,7.181420356936572,8.951602145082742,0.59708813652944,8.101084850535674,10.83117628785213,0.5181359179610172,5.575911521911621,285,lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
geo_macro_plus_city_crime_only,"(512, 256)",0.2,0.0005,0.0005,adam,cosine,128,gelu,mse,False,62,block2_mixed_feature_sets,1682,13,1,0,7.372470913461538,9.64763227741754,0.611317430169358,6.870982702301769,8.839145342672309,0.6071479154830354,8.503082535313622,10.831482882802112,0.5181086376026924,11.768743753433228,678,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
geo_macro_plus_city_crime_only,"(256, 128, 64)",0.2,0.001,0.001,adamw,plateau,256,gelu,mse,False,62,block2_mixed_feature_sets,574,13,1,0,7.418270193011944,9.717009308994186,0.6057072248090913,6.769152056996415,8.842441384714654,0.6068548784625192,8.379986527386833,10.832720365494435,0.5179985204022896,6.260809421539307,395,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
geo_macro_plus_city_crime_only,"(512, 256)",0.25,0.001,0.001,adamw,cosine,128,gelu,smooth_l1,False,52,block2_mixed_feature_sets,521,13,1,0,7.417756382164589,9.798588760230073,0.5990588388064286,6.868328817414074,8.875353024289144,0.6039228533344373,8.513873507555793,10.833429177341737,0.5179354412264077,5.715261220932007,291,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
all_features,"(256, 128, 64)",0.25,0.0007,0.0005,adam,cosine,128,relu,smooth_l1,True,42,block2_mixed_feature_sets,1600,45,1,1,2.517140128032978,3.489790384919548,0.9491428211552315,5.241760849371189,7.046391155137509,0.7503440003431582,7.85874659650466,10.834318197711877,0.517856318948491,11.811555624008179,629,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
crime_only_subset,"(512, 256)",0.2,0.0003,0.002,adamw,plateau,64,relu,mse,False,42,block2_mixed_feature_sets,1474,2,1,0,7.567659464205227,10.004130717547687,0.5820615793016496,6.7517673455215075,8.956436380520351,0.596652840877232,8.485773610133752,10.834908148356085,0.5178038101123572,7.175011396408081,298,crimeindex_2020 | crimeindex_2023
crime_only_subset,"(256, 256)",0.25,0.0003,0.001,adamw,plateau,64,gelu,smooth_l1,False,62,block2_mixed_feature_sets,1871,2,1,0,7.625986360520582,10.078298944163699,0.5758416173029093,6.898071359773962,9.218491527271729,0.5727045843116807,8.474589138404994,10.835347840002555,0.5177646732898395,5.866912126541138,240,crimeindex_2020 | crimeindex_2023
crime_only_subset,"(512, 256)",0.25,0.0007,0.001,adamw,plateau,128,gelu,mse,False,62,block2_mixed_feature_sets,573,2,1,0,7.581773115422175,10.05565275160922,0.5777456648965111,6.840499948641149,9.121221957951688,0.5816742870654668,8.437214122099032,10.83599435516014,0.5177071242837266,3.376060962677002,143,crimeindex_2020 | crimeindex_2023
crime_only_subset,"(128, 128)",0.25,0.0007,0.0001,adam,plateau,128,relu,smooth_l1,False,62,block2_mixed_feature_sets,1279,2,1,0,7.62245456589919,10.09048831501498,0.5748149856336549,7.000527303742199,9.244881292767378,0.5702546463790896,8.517502500496658,10.836244602868856,0.5176848477714349,3.148791790008545,228,crimeindex_2020 | crimeindex_2023
geo_macro_plus_city_crime_only,"(512, 256, 128)",0.3,0.0003,0.0005,adam,cosine,64,gelu,smooth_l1,False,62,block2_mixed_feature_sets,1243,13,1,0,7.473546052903395,9.916592621303982,0.5893436649607467,6.942209915533298,8.916684307447568,0.6002253116278962,8.415830537758621,10.836462170541317,0.5176654799475529,9.93054747581482,331,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
geo_macro_plus_city_crime_only,"(256, 128, 64)",0.3,0.0005,0.001,adam,plateau,256,gelu,smooth_l1,False,52,block2_mixed_feature_sets,577,13,1,0,8.29120346092811,10.608367104194,0.5300510732791113,7.789394802930879,9.840235441481932,0.5131227398854703,8.53341999652339,10.838584045233308,0.5174765707637882,4.227152109146118,263,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
